Nom;Liste des attributs;Identifiant produit;ean13;Nom catégorie par défaut;wholesale_price;Prix de vente HT;Prix de vente TTC avant remises;Montant de la remise;Prix barré TTC;Prix de vente TTC final;;Identifiant déclinaison;ean13 décl.;Référence déclinaison;Impact sur prix de vente (HT/TTC suivant PS version);Impact sur prix de vente TTC
TEE SHIRT FEMMELOGO VICHY CŒUR;M;1362;;VETEMENT;8,500000;20,833333;25,00;;25,00;25,00;;2307;2021818442927;;;
TEE SHIRT FEMMELOGO VICHY CŒUR;XXXL;1363;;VETEMENT;8,500000;20,833333;25,00;;25,00;25,00;;2311;2038257997987;;;
TEE SHIRT FEMMELOGO VICHY CŒUR;XXL;1364;;VETEMENT;8,500000;20,833333;25,00;;25,00;25,00;;2310;2075098021754;;;
TEE SHIRT FEMMELOGO VICHY CŒUR;XL;1365;;VETEMENT;8,500000;20,833333;25,00;;25,00;25,00;;2309;2026157806621;;;
TEE SHIRT HOMME BEIGE LOGO STEM;S;1366;;VETEMENT;8,850000;20,833333;25,00;;25,00;25,00;;2370;2145475766919;;;
TEE SHIRT HOMME BEIGE LOGO STEM;XXS;1367;;VETEMENT;8,850000;20,833333;25,00;;25,00;25,00;;2368;;;;
TEE SHIRT HOMME BEIGE LOGO STEM;XS;1368;;VETEMENT;8,850000;20,833333;25,00;;25,00;25,00;;2369;;;;
TEE SHIRT HOMME BEIGE LOGO STEM;M;1369;;VETEMENT;8,850000;20,833333;25,00;;25,00;25,00;;2371;2153146808653;;;
TEE SHIRT HOMME BEIGE LOGO STEM;XL;1370;;VETEMENT;8,850000;20,833333;25,00;;25,00;25,00;;2373;;;;
TEE SHIRT HOMME BEIGE LOGO STEM;L;1371;;VETEMENT;8,850000;20,833333;25,00;;25,00;25,00;;2372;;;;
TEE SHIRT HOMME BEIGE LOGO STEM;XXXL;1372;;VETEMENT;8,850000;20,833333;25,00;;25,00;25,00;;2375;;;;
TEE SHIRT HOMME BEIGE LOGO STEM;XXL;1373;;VETEMENT;8,850000;20,833333;25,00;;25,00;25,00;;2374;;;;
TEE SHIRT HOMME BLANC BLONDE L;;1374;;VETEMENT;8,000000;20,833333;25,00;;25,00;25,00;;;;;;
TEE SHIRT HOMME BLANC LOGO NIK;XXS;1375;;VETEMENT;8,600000;20,833333;25,00;;25,00;25,00;;2336;2071766790793;;;
TEE SHIRT HOMME BLANC LOGO NIK;XS;1376;;VETEMENT;8,600000;20,833333;25,00;;25,00;25,00;;2337;2050668601864;;;
